 =======================================================================================

                     LuAIMD: An ab initio molecular dynamics program

                                 Author: Yun-ting Bu

 =======================================================================================

 Basis: 6-31G**
 Charge =  0   Spin multiplicity = 1

 Cartesian coordinates (in Angstroms):

   Atom           X                 Y                 Z       
  ------  ----------------  ----------------  ----------------
    O        0.00000000        0.00000000         0.12091400
    H        0.00000000        0.75666800        -0.48365800
    H        0.00000000       -0.75666800        -0.48365800

=======================================
          Molecular Dynamics
=======================================

 Nstep=  1000
 Time=   500.00 fs
 Velocity initialization: Maxwell-Boltzmann distribution, at   298.15 K.
 MD intergral method: Velocity_Verlet
 Thermostat: Berendsen
 Bath temperature:   298.15 K
 Relaxation time:  30.00 fs
 Cartesian coordinates will be given in: pos.xyz.
 Bond length and bond angle you have chosen will be given in: mole_geom.dat.

------MD step------

time(fs)     Etot(Hartree)      Ekin(Hartree)      Epot(Hartree)      T(K)      t_scf(s)     t_grad(s)
   56.50     -76.0215417986       0.0036350881     -76.0251768866     255.08        0.111        0.179
   57.00     -76.0222476157       0.0043314281     -76.0265790438     303.95        0.119        0.226
   57.50     -76.0228639012       0.0049267690     -76.0277906701     345.72        0.128        0.218
   58.00     -76.0230905099       0.0051330284     -76.0282235384     360.20        0.126        0.217
   58.50     -76.0228004912       0.0048377770     -76.0276382681     339.48        0.127        0.222
   59.00     -76.0221544532       0.0042077677     -76.0263622209     295.27        0.122        0.219
   59.50     -76.0215528630       0.0036324399     -76.0251853028     254.90        0.119        0.257
   60.00     -76.0213821364       0.0034766708     -76.0248588072     243.97        0.106        0.184
   60.50     -76.0217143568       0.0038012025     -76.0255155593     266.74        0.103        0.191
   61.00     -76.0222437608       0.0043098397     -76.0265536005     302.43        0.128        0.209
   61.50     -76.0225411933       0.0045917619     -76.0271329552     322.21        0.130        0.214
   62.00     -76.0223750246       0.0044262712     -76.0268012958     310.60        0.124        0.180
   62.50     -76.0218296990       0.0038978601     -76.0257275590     273.52        0.110        0.183
   63.00     -76.0212027368       0.0032978786     -76.0245006153     231.42        0.112        0.174
   63.50     -76.0208191111       0.0029429119     -76.0237620229     206.51        0.106        0.177
   64.00     -76.0208794341       0.0030248459     -76.0239042800     212.26        0.103        0.205
   64.50     -76.0213816628       0.0035344548     -76.0249161176     248.02        0.119        0.195
   65.00     -76.0221195981       0.0042630604     -76.0263826585     299.15        0.115        0.234
   65.50     -76.0227605529       0.0048832968     -76.0276438497     342.67        0.118        0.188
   66.00     -76.0229933585       0.0050972861     -76.0280906447     357.69        0.113        0.177
   66.50     -76.0227063816       0.0048081458     -76.0275145273     337.40        0.112        0.180
   67.00     -76.0220982657       0.0042183407     -76.0263166063     296.01        0.109        0.174
   67.50     -76.0215946783       0.0037390686     -76.0253337470     262.38        0.108        0.173
   68.00     -76.0215546297       0.0037075363     -76.0252621660     260.17        0.114        0.183
   68.50     -76.0219806310       0.0041187725     -76.0260994036     289.02        0.110        0.184
   69.00     -76.0225166766       0.0046295576     -76.0271462343     324.87        0.109        0.189
   69.50     -76.0227420992       0.0048372304     -76.0275793296     339.44        0.106        0.177
   70.00     -76.0224699396       0.0045641131     -76.0270340526     320.27        0.110        0.178
   70.50     -76.0218227586       0.0039322876     -76.0257550462     275.94        0.109        0.180
   71.00     -76.0211113477       0.0032469016     -76.0243582493     227.84        0.108        0.174
   71.50     -76.0206562986       0.0028208090     -76.0234771076     197.94        0.105        0.173
   72.00     -76.0206505249       0.0028385216     -76.0234890465     199.19        0.109        0.176
   72.50     -76.0210903278       0.0032891852     -76.0243795130     230.81        0.108        0.184
   73.00     -76.0217759633       0.0039703508     -76.0257463141     278.61        0.111        0.184
   73.50     -76.0223870294       0.0045665271     -76.0269535566     320.44        0.120        0.178
   74.00     -76.0226265968       0.0047933602     -76.0274199570     336.36        0.119        0.184
   74.50     -76.0223936727       0.0045635585     -76.0269572311     320.24        0.117        0.179
   75.00     -76.0218871906       0.0040787639     -76.0259659545     286.22        0.115        0.176
   75.50     -76.0215184370       0.0037351742     -76.0252536111     262.11        0.113        0.179
   76.00     -76.0216206371       0.0038443798     -76.0254650170     269.77        0.100        0.182
   76.50     -76.0221698759       0.0043755746     -76.0265454505     307.04        0.104        0.181
   77.00     -76.0227941348       0.0049699937     -76.0277641285     348.76        0.105        0.183
   77.50     -76.0230699800       0.0052225559     -76.0282925358     366.48        0.108        0.180
   78.00     -76.0228163835       0.0049619260     -76.0277783095     348.19        0.112        0.186
   78.50     -76.0221654870       0.0043201830     -76.0264856700     303.16        0.109        0.174
   79.00     -76.0214381818       0.0036128145     -76.0250509963     253.52        0.109        0.179
   79.50     -76.0209629064       0.0031605157     -76.0241234220     221.78        0.109        0.175
   80.00     -76.0209347212       0.0031497979     -76.0240845191     221.03        0.103        0.178
   80.50     -76.0213437933       0.0035636723     -76.0249074656     250.07        0.110        0.176
   81.00     -76.0219770118       0.0041868553     -76.0261638671     293.80        0.111        0.180
   81.50     -76.0225005136       0.0046917195     -76.0271922331     329.23        0.159        0.212
   82.00     -76.0226185147       0.0047966532     -76.0274151678     336.59        0.124        0.210
   82.50     -76.0222599062       0.0044444993     -76.0267044056     311.88        0.111        0.221
   83.00     -76.0216758986       0.0038866905     -76.0255625891     272.74        0.117        0.182
   83.50     -76.0213152640       0.0035533588     -76.0248686228     249.35        0.123        0.224
   84.00     -76.0214960813       0.0037403378     -76.0252364191     262.47        0.149        0.217
   84.50     -76.0221373743       0.0043624739     -76.0264998482     306.12        0.118        0.205
   85.00     -76.0228218073       0.0050175187     -76.0278393259     352.09        0.113        0.179
   85.50     -76.0231241769       0.0052975676     -76.0284217445     371.74        0.112        0.206
   86.00     -76.0228862638       0.0050523910     -76.0279386547     354.54        0.113        0.185
   86.50     -76.0222552382       0.0044286250     -76.0266838632     310.77        0.115        0.184
   87.00     -76.0215475182       0.0037378413     -76.0252853595     262.29        0.111        0.178
   87.50     -76.0210748470       0.0032848755     -76.0243597224     230.51        0.113        0.180
   88.00     -76.0210150654       0.0032398473     -76.0242549128     227.35        0.105        0.176
   88.50     -76.0213493862       0.0035776658     -76.0249270520     251.05        0.110        0.180
   89.00     -76.0218693714       0.0040885485     -76.0259579199     286.90        0.110        0.181
   89.50     -76.0222610369       0.0044651923     -76.0267262292     313.33        0.117        0.195
   90.00     -76.0222597069       0.0044566376     -76.0267163445     312.73        0.126        0.183
   90.50     -76.0218242689       0.0040342643     -76.0258585332     283.09        0.116        0.182
   91.00     -76.0212169616       0.0034591474     -76.0246761090     242.74        0.130        0.186
   91.50     -76.0208710154       0.0031460365     -76.0240170518     220.76        0.113        0.179
   92.00     -76.0210794435       0.0033669233     -76.0244463668     236.26        0.100        0.175
   92.50     -76.0217530135       0.0040284757     -76.0257814892     282.69        0.108        0.181
   93.00     -76.0224870321       0.0047395154     -76.0272265476     332.58        0.109        0.179
   93.50     -76.0228695728       0.0051040315     -76.0279736042     358.16        0.110        0.178
   94.00     -76.0227396173       0.0049688473     -76.0277084646     348.68        0.113        0.184
   94.50     -76.0222286134       0.0044653879     -76.0266940013     313.35        0.112        0.177
   95.00     -76.0216374304       0.0038900586     -76.0255274890     272.97        0.110        0.175
   95.50     -76.0212708219       0.0035407265     -76.0248115484     248.46        0.110        0.182
   96.00     -76.0213073587       0.0035880146     -76.0248953733     251.78        0.108        0.180
   96.50     -76.0217303541       0.0040086746     -76.0257390287     281.30        0.110        0.176
   97.00     -76.0223286176       0.0045901181     -76.0269187357     322.10        0.117        0.178
   97.50     -76.0227779522       0.0050152557     -76.0277932079     351.93        0.117        0.181
   98.00     -76.0227994282       0.0050198194     -76.0278192477     352.25        0.117        0.179
   98.50     -76.0223421891       0.0045664937     -76.0269086828     320.44        0.125        0.195
   99.00     -76.0216698857       0.0039183136     -76.0255881993     274.96        0.113        0.175
   99.50     -76.0212258904       0.0035003854     -76.0247262758     245.63        0.112        0.180
  100.00     -76.0213158096       0.0035979344     -76.0249137439     252.48        0.107        0.177
  100.50     -76.0218675238       0.0041353736     -76.0260028974     290.19        0.107        0.175
  101.00     -76.0225015810       0.0047462298     -76.0272478109     333.05        0.110        0.173
  101.50     -76.0228300511       0.0050570222     -76.0278870732     354.86        0.114        0.186
  102.00     -76.0226994437       0.0049210074     -76.0276204511     345.32        0.112        0.172
  102.50     -76.0222278140       0.0044559373     -76.0266837514     312.68        0.106        0.198
  103.00     -76.0216903992       0.0039327226     -76.0256231218     275.97        0.111        0.174
  103.50     -76.0213658656       0.0036233919     -76.0249892575     254.26        0.109        0.175
  104.00     -76.0214137037       0.0036798953     -76.0250935990     258.23        0.105        0.180
  104.50     -76.0218087722       0.0040711964     -76.0258799686     285.69        0.106        0.172
  105.00     -76.0223447835       0.0045903726     -76.0269351561     322.12        0.113        0.179
  105.50     -76.0227169185       0.0049400043     -76.0276569228     346.65        0.118        0.179
  106.00     -76.0226744864       0.0048832038     -76.0275576902     342.67        0.123        0.183
  106.50     -76.0221862333       0.0044004390     -76.0265866723     308.79        0.111        0.195
  107.00     -76.0215042669       0.0037423913     -76.0252466582     262.61        0.113        0.177
  107.50     -76.0210278584       0.0032922720     -76.0243201304     231.03        0.107        0.179
  108.00     -76.0210237141       0.0032999440     -76.0243236581     231.56        0.108        0.174
  108.50     -76.0214309091       0.0037017148     -76.0251326239     259.76        0.108        0.178
  109.00     -76.0219275133       0.0041859547     -76.0261134680     293.74        0.109        0.174
  109.50     -76.0221799871       0.0044309762     -76.0266109633     310.93        0.111        0.174
  110.00     -76.0220490459       0.0043036761     -76.0263527220     302.00        0.112        0.201
  110.50     -76.0216314156       0.0039010502     -76.0255324658     273.75        0.117        0.199
  111.00     -76.0211721208       0.0034642310     -76.0246363518     243.09        0.115        0.190
  111.50     -76.0209319643       0.0032473100     -76.0241792743     227.87        0.121        0.224
  112.00     -76.0210710582       0.0034023996     -76.0244734578     238.75        0.115        0.215
  112.50     -76.0215778033       0.0039112591     -76.0254890624     274.46        0.121        0.204
  113.00     -76.0222615289       0.0045815421     -76.0268430710     321.50        0.118        0.176
  113.50     -76.0228233262       0.0051205303     -76.0279438565     359.32        0.119        0.184
  114.00     -76.0229987310       0.0052766333     -76.0282753642     370.27        0.111        0.178
  114.50     -76.0227197375       0.0049937135     -76.0277134511     350.42        0.117        0.179
  115.00     -76.0221888877       0.0044746226     -76.0266635103     313.99        0.107        0.172
  115.50     -76.0217672689       0.0040670448     -76.0258343137     285.39        0.109        0.175
  116.00     -76.0217192168       0.0040203456     -76.0257395624     282.12        0.096        0.174
  116.50     -76.0220215909       0.0043086028     -76.0263301937     302.34        0.102        0.166
  117.00     -76.0224069841       0.0046735359     -76.0270805200     327.95        0.101        0.173
  117.50     -76.0225792484       0.0048301194     -76.0274093677     338.94        0.107        0.178
  118.00     -76.0224041069       0.0046505040     -76.0270546109     326.34        0.106        0.171
  118.50     -76.0219605734       0.0042145929     -76.0261751663     295.75        0.108        0.167
  119.00     -76.0214715858       0.0037418344     -76.0252134202     262.57        0.106        0.167
  119.50     -76.0211832905       0.0034718072     -76.0246550977     243.62        0.106        0.173
  120.00     -76.0212512904       0.0035522740     -76.0248035644     249.27        0.106        0.180
  120.50     -76.0216688707       0.0039702145     -76.0256390852     278.60        0.106        0.177
  121.00     -76.0222596786       0.0045479292     -76.0268076078     319.14        0.111        0.188
  121.50     -76.0227484151       0.0050160481     -76.0277644632     351.99        0.119        0.194
  122.00     -76.0228976386       0.0051485474     -76.0280461860     361.29        0.125        0.180
  122.50     -76.0226526402       0.0049002911     -76.0275529312     343.86        0.112        0.189
  123.00     -76.0221944277       0.0044515253     -76.0266459530     312.37        0.116        0.200
  123.50     -76.0218283036       0.0040961825     -76.0259244861     287.44        0.110        0.191
  124.00     -76.0217665283       0.0040349852     -76.0258015135     283.14        0.107        0.179
  124.50     -76.0219813675       0.0042383851     -76.0262197526     297.42        0.104        0.184
  125.00     -76.0222472785       0.0044880766     -76.0267353551     314.94        0.107        0.175
  125.50     -76.0223135964       0.0045428032     -76.0268563996     318.78        0.111        0.183
  126.00     -76.0220618665       0.0042906313     -76.0263524978     301.08        0.114        0.183
  126.50     -76.0215598121       0.0038011434     -76.0253609555     266.73        0.115        0.184
  127.00     -76.0210129086       0.0032770384     -76.0242899470     229.96        0.109        0.192
  127.50     -76.0206601430       0.0029509636     -76.0236111066     207.08        0.116        0.191
  128.00     -76.0206657594       0.0029791967     -76.0236449561     209.06        0.108        0.181
  128.50     -76.0210447098       0.0033698752     -76.0244145850     236.47        0.113        0.199
  129.00     -76.0216470647       0.0039706485     -76.0256177131     278.63        0.116        0.207
  129.50     -76.0222171751       0.0045301206     -76.0267472957     317.89        0.120        0.198
  130.00     -76.0225176990       0.0048205847     -76.0273382837     338.27        0.122        0.193
  130.50     -76.0224662938       0.0047684904     -76.0272347842     334.62        0.115        0.179
  131.00     -76.0221959652       0.0045071368     -76.0267031020     316.28        0.113        0.184
  131.50     -76.0219703740       0.0042908732     -76.0262612472     301.10        0.111        0.182
  132.00     -76.0219945744       0.0043141342     -76.0263087087     302.73        0.107        0.181
  132.50     -76.0222691138       0.0045745698     -76.0268436835     321.01        0.106        0.181
  133.00     -76.0226026048       0.0048865168     -76.0274891215     342.90        0.106        0.189
  133.50     -76.0227539861       0.0050181295     -76.0277721156     352.13        0.108        0.186
  134.00     -76.0225861808       0.0048399679     -76.0274261488     339.63        0.111        0.181
  134.50     -76.0221390403       0.0043950455     -76.0265340859     308.41        0.111        0.190
  135.00     -76.0216000929       0.0038689323     -76.0254690252     271.49        0.114        0.191
  135.50     -76.0212062408       0.0034926062     -76.0246988470     245.08        0.115        0.193
  136.00     -76.0211307890       0.0034317435     -76.0245625325     240.81        0.115        0.179
  136.50     -76.0214027221       0.0037089309     -76.0251116530     260.26        0.107        0.176
  137.00     -76.0218883734       0.0041884546     -76.0260768281     293.91        0.113        0.186
  137.50     -76.0223495558       0.0046364059     -76.0269859618     325.35        0.122        0.191
  138.00     -76.0225650411       0.0048406126     -76.0274056537     339.68        0.117        0.174
  138.50     -76.0224609646       0.0047351083     -76.0271960729     332.27        0.113        0.183
  139.00     -76.0221651396       0.0044477488     -76.0266128884     312.11        0.112        0.194
  139.50     -76.0219272946       0.0042197419     -76.0261470366     296.11        0.108        0.176
